% data from measurements 05/27/17
% K colkumn is a placeholder! 
% ID gap [mm]     K      E_1 [keV] 
5.199965    1.0 1.378589094103352
5.400622    1.0 1.4505010580342685
5.600828    1.0 1.5248993303989322
5.800321    1.0 1.6009404213859297
6.000821    1.0 1.6788671081447528
6.200767    1.0 1.7570784300058437
6.400605    1.0 1.8357645433622067
6.600578    1.0 1.914488802148277
6.800355    1.0 1.9929970840233462
7.000483    1.0 2.0713452775519903
7.200037    1.0 2.148883562796105
7.400514    1.0 2.225995709222256
7.600281    1.0 2.3018337813650303
7.800746    1.0 2.377019859715496
7.999904    1.0 2.449544864790523
8.200766    1.0 2.522370298627779
8.400174    1.0 2.5931737514930284
8.600918    1.0 2.6630151504833477
8.8002    1.0 2.730874578787477
9.000784    1.0 2.7973839054814453
9.200108    1.0 2.8615184139963423
9.40069    1.0 2.924304528056641
9.600765    1.0 2.984894816117624
9.799592    1.0 3.0431270671432875
10.000554    1.0 3.1000116670216147
10.199579    1.0 3.1546437091131874
10.400747    1.0 3.207724372976911
10.599349    1.0 3.258325233855988
10.800846    1.0 3.307500545711657
11.000101    1.0 3.355150479829068
11.199397    1.0 3.398731636405054
11.40087    1.0 3.4434943054699323
11.600617    1.0 3.484826916268605
11.749654    1.0 3.5148541202555785
