% data from measurements 06/06/16
% K colkumn is a placeholder! 
% ID gap [mm]     K      E_1 [keV] 
5.199418    1.0 1.3673620139594027
5.400744    1.0 1.4390290269467232
5.600851    1.0 1.5129974379749154
5.800177    1.0 1.5886838265091205
6.000904    1.0 1.6660994868026733
6.200799    1.0 1.7441268032428803
6.400545    1.0 1.8224437369202415
6.600401    1.0 1.9006813355045924
6.800364    1.0 1.979250316428633
7.000502    1.0 2.0571259599673684
7.199878    1.0 2.1343067768484136
7.400587    1.0 2.211149196149259
7.600253    1.0 2.286593987432882
7.800836    1.0 2.36144037648478
7.999716    1.0 2.434706621294187
8.200587    1.0 2.506886374757243
8.399763    1.0 2.576244465864387
8.600818    1.0 2.644775974537054
8.799779    1.0 2.711041550397586
9.000629    1.0 2.780288419103985
9.199567    1.0 2.8439436625522623
9.400489    1.0 2.9054741826599146
9.600901    1.0 2.9646083490786554
9.800633    1.0 3.0249416673546525
