% data from measurements 10/04/16
% K colkumn is a placeholder! 
% ID gap [mm]     K      E_1 [keV] 
5.200081    1.0 1.3736578661340244
5.400614    1.0 1.4451752600116263
5.600811    1.0 1.5191900302629033
5.800746    1.0 1.5949975823980231
6.00071    1.0 1.672219281206242
6.200856    1.0 1.7501264383182344
6.402153    1.0 1.8289801400080943
6.600384    1.0 1.906144150632887
6.799516    1.0 1.9838828710259837
7.000776    1.0 2.062462261964069
7.199553    1.0 2.1392952193795116
7.400456    1.0 2.2139966161857
7.599463    1.0 2.2856261267745372
7.8007    1.0 2.3663733070369504
7.999452    1.0 2.4392475274570633
8.200472    1.0 2.5110890814141227
8.40016    1.0 2.5815661604575304
8.600957    1.0 2.651035978841073
8.800824    1.0 2.7182596130202983
9.000025    1.0 2.783036301810065
9.200449    1.0 2.8470009391267026
9.399156    1.0 2.9086965521868926
9.600769    1.0 2.9693461493316127
9.799862    1.0 3.027298589405714
