% data from measurements 01/16/17
% manually taken for center of undulator cone
% K colkumn is a placeholder! 
% ID gap [mm]     K      E_1 [keV] 
5.20    1.0 1.3782
5.40    1.0 1.4504
5.60    1.0 1.525
5.80    1.0 1.6012
6.00    1.0 1.6695
6.20    1.0 1.751
6.40    1.0 1.8368
6.60    1.0 1.9156
6.80    1.0 1.99942
7.00    1.0 2.073
7.25    1.0 2.17
7.50    1.0 2.26567
7.75    1.0 2.3603
8.00    1.0 2.4526667
8.25    1.0 2.5436667
8.50    1.0 2.6313333
8.75    1.0 2.7173333
9.00    1.0 2.800
9.25    1.0 2.8796666666
9.50    1.0 2.9573333333
9.75    1.0 3.032
10.0    1.0 3.103333333
10.5    1.0 3.23733333
10.75    1.0 3.2993333333
11.25    1.0 3.4149999999
11.75    1.0 3.519
